,jrk_template,phylum,class,order,family,genus,COMMENT on genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
2001,jrk04778,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Lomachashaka,,,,,,,,,,,,,,,,,,
2002,jrk04812,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Ludwigomyces,,,,,,,,,,,,,,,,,,
2003,jrk04822,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Luzfridiella,,,,,,,,,,,,,,,,,,
2004,jrk04828,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Luxuriomyces,,,,,,,,,,,,,,,,,,
2005,jrk04838,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Lysotheca,,,,,,,,,,,,,,,,,,
2006,jrk04845,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mackenziella,,,,,,,,,,,,,,,,,,
2007,jrk04848,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Macroallantina,,unspecified_saprotroph,,,,,,,,,,,,,,,,
2008,jrk04856,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Macrodiplodia,,,,,,,,,,,,,,,,,,
2009,jrk04866,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Macrotrichum,,,,,,,,,,,,,,,,,,
2010,jrk04882,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mahabalella,,,,,,,,,,,,,,,,,,
2011,jrk04902,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Manginella,,,,,,,,,,,,,,,,,,
2012,jrk04909,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mapletonia,,,,,,,,,,,,,,,,,,
2013,jrk04920,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Margarinomyces,,,,,,,,,,,,,,,,,,
2014,jrk04941,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Martinellisia,,,,,,,,,,,,,,,,,,
2015,jrk04946,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Massalongina,,,,,,,,,,,,,,,,,,
2016,jrk04966,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Matsushimiella,,,,,,,,,,,,,,,,,,
2017,jrk04982,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Medusamyces,,,,,,,,,,,,,,,,,,
2018,jrk04989,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Megalodochium,,,,,,,,,,,,,,,,,,
2019,jrk04991,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Megaloseptoria,,unspecified_saprotroph,,,,,,,,,,,,,,,,
2020,jrk05015,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Melanocephala,,,,,,,,,,,,,,,,,,
2021,jrk05066,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Melophia,,,,,,,,,,,,,,,,,,
2022,jrk05074,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Menidochium,,,,,,,,,,,,,,,,,,
2023,jrk05079,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mercadomyces,,,,,,,,,,,,,,,,,,
2024,jrk05085,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Merismella,,unspecified_saprotroph,,,,,,,,,,,,,,,,
2025,jrk05104,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Metadiplodia,,,,,,,,,,,,,,,,,,
2026,jrk05113,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Metazythia,,,,,,,,,,,,,,,,,,
2027,jrk05114,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Metazythiopsis,,,,,,,,,,,,,,,,,,
2028,jrk05131,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microblastosporon,,,,,,,,,,,,,,,,,,
2029,jrk05137,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microclava,,,,,,,,,,,,,,,,,,
2030,jrk05143,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microdiscula,,,,,,,,,,,,,,,,,,
2031,jrk05148,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microdothiorella,,,,,,,,,,,,,,,,,,
2032,jrk05153,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microhendersonula,,,,,,,,,,,,,,,,,,
2033,jrk05156,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Micromastia,,,,,,,,,,,,,,,,,,
2034,jrk05163,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microperella,,,,,,,,,,,,,,,,,,
2035,jrk05169,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Micropustulomyces,,,,,,,,,,,,,,,,,,
2036,jrk05184,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microtyle,,,,,,,,,,,,,,,,,,
2037,jrk05186,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microxyphiella,,,,,,,,,,,,,,,,,,
2038,jrk05187,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Microxyphiopsis,,,,,,,,,,,,,,,,,,
2039,jrk05201,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mindoa,,,,,,,,,,,,,,,,,,
2040,jrk05209,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Minteriella,,,,,,,,,,,,,,,,,,
2041,jrk05213,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Minutophoma,,lichen_parasite,fungal_decomposer,,,,fungal_material,algal_material,,non-aquatic,,,,none,none,,,,
2042,jrk05216,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Miricatena,,,,,,,,,,,,,,,,,,
2043,jrk05217,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mirimyces,,,,,,,,,,,,,,,,,,
2044,jrk05264,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Monochaetiella,,unspecified_pathotroph,,,,,,,,,,,,,,,,
2045,jrk05266,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Monochaetinula,,,,,,,,,,,,,,,,,,
2046,jrk05267,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Monochaetopsis,,,,,,,,,,,,,,,,,,
2047,jrk05268,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Monodia,,,,,,,,,,,,,,,,,,
2048,jrk05270,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Monodidymaria,,,,,,,,,,,,,,,,,,
2049,jrk05271,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Monodisma,,,,,,,,,,,,,,,,,,
2050,jrk05277,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Monostichella,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,,,,,,,,
2051,jrk05286,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Moralesia,,,,,,,,,,,,,,,,,,
2052,jrk05301,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Morrisographium,,,,,,,,,,,,,,,,,,
2053,jrk05316,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mucosetospora,,,,,,,,,,,,,,,,,,
2054,jrk05322,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Muiogone,,,,,,,,,,,,,,,,,,
2055,jrk05323,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Muirella,,,,,,,,,,,,,,,,,,
2056,jrk05342,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Murogenella,,,,,,,,,,,,,,,,,,
2057,jrk05355,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycelephas,,,,,,,,,,,,,,,,,,
2058,jrk05374,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycocentrodochium,,,,,,,,,,,,,,,,,,
2059,jrk05386,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycoënterolobium,,,,,,,,,,,,,,,,,,
2060,jrk05393,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycohypallage,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,,filamentous_mycelium,perithecium_(hymenium_hidden,_narrow_opening),closed,,,,
2061,jrk05405,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycopara,,,,,,,,,,,,,,,,,,
2062,jrk05420,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycospraguea,,,,,,,,,,,,,,,,,,
2063,jrk05421,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycosticta,,,,,,,,,,,,,,,,,,
2064,jrk05429,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycotodea,,,,,,,,,,,,,,,,,,
2065,jrk05431,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mycousteria,,,,,,,,,,,,,,,,,,
2066,jrk05438,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myiocoprula,,,,,,,,,,,,,,,,,,
2067,jrk05447,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myriellina,,,,,,,,,,,,,,,,,,
2068,jrk05467,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myrmecomyces,,,,,,,,,,,,,,,,,,
2069,jrk05469,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myrotheciastrum,,,,,,,,,,,,,,,,,,
2070,jrk05474,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Mystrosporiella,,,,,,,,,,,,,,,,,,
2071,jrk05483,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myxoparaphysella,,,,,,,,,,,,,,,,,,
2072,jrk05487,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myxosporidiella,,,,,,,,,,,,,,,,,,
2073,jrk05488,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myxostomellina,,,,,,,,,,,,,,,,,,
2074,jrk05490,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myxothyriopsis,,,,,,,,,,,,,,,,,,
2075,jrk05491,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Myxothyrium,,,,,,,,,,,,,,,,,,
2076,jrk05499,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Naemosphaera,,,,,,,,,,,,,,,,,,
2077,jrk05500,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Naemosphaerella,,,,,,,,,,,,,,,,,,
2078,jrk05506,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nagrajia,,,,,,,,,,,,,,,,,,
2079,jrk05507,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nagrajomyces,,,,,,,,,,,,,,,,,,
2080,jrk05514,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nakatopsis,,,,,,,,,,,,,,,,,,
2081,jrk05521,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nanoschema,,,,,,,,,,,,,,,,,,
2082,jrk05527,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Naothyrsium,,,,,,,,,,,,,,,,,,
2083,jrk05544,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Necraphidium,,,,,,,,,,,,,,,,,,
2084,jrk05556,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nematographium,,,,,,,,,,,,,,,,,,
2085,jrk05560,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nemozythiella,,,,,,,,,,,,,,,,,,
2086,jrk05564,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neoalpakesa,,,,,,,,,,,,,,,,,,
2087,jrk05572,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neoarbuscula,,,,,,,,,,,,,,,,,,
2088,jrk05577,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neobarclaya,,,,,,,,,,,,,,,,,,
2089,jrk05617,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neodiplodina,,,,,,,,,,,,,,,,,,
2090,jrk05625,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neofuckelia,,,,,,,,,,,,,,,,,,
2091,jrk05634,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neoheteroceras,,,,,,,,,,,,,,,,,,
2092,jrk05639,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neojohnstonia,,,,,,,,,,,,,,,,,,
2093,jrk05648,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neoligniella,,,,,,,,,,,,,,,,,,
2094,jrk05652,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neomarssoniella,,,,,,,,,,,,,,,,,,
2095,jrk05656,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neomelanconium,,,,,,,,,,,,,,,,,,
2096,jrk05673,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neopeltis,,,,,,,,,,,,,,,,,,
2097,jrk05676,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neopericonia,,,,,,,,,,,,,,,,,,
2098,jrk05685,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neophoma,,,,,,,,,,,,,,,,,,
2099,jrk05691,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neopodoconis,,,,,,,,,,,,,,,,,,
2100,jrk05711,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neospegazzinia,,,,,,,,,,,,,,,,,,
2101,jrk05718,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neozythia,,,,,,,,,,,,,,,,,,
2102,jrk05729,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Neottiospora,,,,,,,,,,,,,,,,,,
2103,jrk05752,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nidulispora,,,,,,,,,,,,,,,,,,
2104,jrk05761,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nigrolentilocus,,unspecified_saprotroph,,,,,,,,,,,,,,,,
2105,jrk05762,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nigromacula,,lichen_parasite,fungal_decomposer,,,,fungal_material,algal_material,,non-aquatic,,,,none,none,,,,
2106,jrk05765,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nigropuncta,,lichen_parasite,fungal_decomposer,,,,fungal_material,algal_material,,non-aquatic,,,,none,none,,,,
2107,jrk05795,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nosophloea,,,,,,,,,,,,,,,,,,
2108,jrk05811,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nothospora,,,,,,,,,,,,,,,,,,
2109,jrk05818,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Novozymia,,,,,,,,,,,,,,,,,,
2110,jrk05822,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nummospora,,,,,,,,,,,,,,,,,,
2111,jrk05823,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nusia,,,,,,,,,,,,,,,,,,
2112,jrk05824,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nyctalospora,,,,,,,,,,,,,,,,,,
2113,jrk05827,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Nypaella,,,,,,,,,marine,,,,,,,,,
2114,jrk05841,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Obstipipilus,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,,,,,,,,
2115,jrk05860,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Octopodotus,,,,,,,,,marine,,,,,,,,,
2116,jrk05871,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Odontodictyospora,,,,,,,,,,,,,,,,,,
2117,jrk05877,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Oedothea,,,,,,,,,,,,,,,,,,
2118,jrk05884,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Ojibwaya,,,,,,,,,,,,,,,,,,
2119,jrk05897,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Omega,,,,,,,,,,,,,,,,,,
2120,jrk05907,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Oncopodium,,,,,,,,,,,,,,,,,,
2121,jrk05908,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Oncospora,,unspecified_saprotroph,,,,,,,,,,,,,,,,
2122,jrk05909,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Oncosporella,,,,,,,,,,,,,,,,,,
2123,jrk05910,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Oncostroma,,,,,,,,,,,,,,,,,,
2124,jrk05918,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Oothyrium,,,,,,,,,,,,,,,,,,
2125,jrk05940,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Ophiosira,,,,,,,,,,,,,,,,,,
2126,jrk05961,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Orphanocoela,,,,,,,,,,,,,,,,,,
2127,jrk05977,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Ostracoderma,,,,,,,,,,,,,,,,,,
2128,jrk05978,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Ostracodermidium,,,,,,,,,,,,,,,,,,
2129,jrk05983,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Oswaldina,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,,,,,,,,
2130,jrk06001,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paathramaya,,,,,,,,,,,,,,,,,,
2131,jrk06005,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Pachycladina,,,,,,,,,,,,,,,,,,
2132,jrk06027,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Palawaniopsis,,,,,,,,,,,,,,,,,,
2133,jrk06051,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Papilionospora,,,,,,,,,,,,,,,,,,
2134,jrk06054,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Pappimyces,,,,,,,,,,,,,,,,,,
2135,jrk06058,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paraaoria,,,,,,,,,,,,,,,,,,
2136,jrk06059,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paraarthrocladium,,,,,,,,,,,,,,,,,,
2137,jrk06062,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parablastocatena,,,,,,,,,,,,,,,,,,
2138,jrk06065,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paraceratocladium,,,,,,,,,,,,,,,,,,
2139,jrk06068,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parachionomyces,,,,,,,,,,,,,,,,,,
2140,jrk06075,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paracryptophiale,,,,,,,,,,,,,,,,,,
2141,jrk06078,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paracytospora,,,,,,,,,,,,,,,,,,
2142,jrk06080,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paradendryphiopsis,,,,,,,,,,,,,,,,,,
2143,jrk06084,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paradidymobotryum,,,,,,,,,,,,,,,,,,
2144,jrk06086,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paradiplodia,,,,,,,,,,,,,,,,,,
2145,jrk06087,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paradischloridium,,,,,,,,,,,,,,,,,,
2146,jrk06088,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paradiscula,,,,,,,,,,,,,,,,,,
2147,jrk06094,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paraëpicoccum,,,,,,,,,,,,,,,,,,
2148,jrk06098,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parafulvia,,,,,,,,,,,,,,,,,,
2149,jrk06104,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parahaplotrichum,,,,,,,,,,,,,,,,,,
2150,jrk06105,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paraharknessia,,,,,,,,,,,,,,,,,,
2151,jrk06106,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parahyalotiopsis,,,,,,,,,,,,,,,,,,
2152,jrk06119,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paramassariothea,,,,,,,,,,,,,,,,,,
2153,jrk06121,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paramenisporopsis,,,,,,,,,,,,,,,,,,
2154,jrk06141,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parapericonia,,,,,,,,,,,,,,,,,,
2155,jrk06142,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parapericoniella,,,,,,,,,,,,,,,,,,
2156,jrk06152,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parapithomyces,,,,,,,,,,,,,,,,,,
2157,jrk06159,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parapyricularia,,,,,,,,,,,,,,,,,,
2158,jrk06161,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Pararobillarda,,,,,,,,,,,,,,,,,,
2159,jrk06170,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parasphaeropsis,,,,,,,,,,,,,,,,,,
2160,jrk06178,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Parastigmatellina,,,,,,,,,,,,,,,,,,
2161,jrk06182,Ascomycota,Ascomycota class incertae sedis,Ascomycota order incertae sedis,Ascomycota family incertae sedis,Paratetraploa,,,,,,,,,,,,,,,,,,
